agency_cd,site_no,datetime,tz_cd,72359_00060,72359_00060_cd
USGS,4174500,8/21/24 13:00,EST,751,P
USGS,4174500,8/21/24 13:15,EST,757,P
USGS,4174500,8/21/24 13:30,EST,757,P
USGS,4174500,8/21/24 13:45,EST,757,P
USGS,4174500,8/21/24 14:00,EST,757,P
USGS,4174500,8/21/24 14:15,EST,757,P
USGS,4174500,8/21/24 14:30,EST,751,P
USGS,4174500,8/21/24 14:45,EST,757,P
USGS,4174500,8/21/24 15:00,EST,763,P
USGS,4174500,8/21/24 15:15,EST,763,P
USGS,4174500,8/21/24 15:30,EST,757,P
USGS,4174500,8/21/24 15:45,EST,757,P
USGS,4174500,8/21/24 16:00,EST,745,P
USGS,4174500,8/21/24 16:15,EST,745,P
USGS,4174500,8/21/24 16:30,EST,740,P
USGS,4174500,8/21/24 16:45,EST,740,P
USGS,4174500,8/21/24 17:00,EST,740,P
USGS,4174500,8/21/24 17:15,EST,740,P
USGS,4174500,8/21/24 17:30,EST,740,P
USGS,4174500,8/21/24 17:45,EST,740,P
USGS,4174500,8/21/24 18:00,EST,734,P
USGS,4174500,8/21/24 18:15,EST,734,P
USGS,4174500,8/21/24 18:30,EST,734,P
USGS,4174500,8/21/24 18:45,EST,728,P
USGS,4174500,8/21/24 19:00,EST,728,P
USGS,4174500,8/21/24 19:15,EST,728,P
USGS,4174500,8/21/24 19:30,EST,728,P
USGS,4174500,8/21/24 19:45,EST,728,P
USGS,4174500,8/21/24 20:00,EST,728,P
USGS,4174500,8/21/24 20:15,EST,728,P
USGS,4174500,8/21/24 20:30,EST,728,P
USGS,4174500,8/21/24 20:45,EST,728,P
USGS,4174500,8/21/24 21:00,EST,728,P
USGS,4174500,8/21/24 21:15,EST,723,P
USGS,4174500,8/21/24 21:30,EST,711,P
USGS,4174500,8/21/24 21:45,EST,711,P
USGS,4174500,8/21/24 22:00,EST,711,P
USGS,4174500,8/21/24 22:15,EST,711,P
USGS,4174500,8/21/24 22:30,EST,711,P
USGS,4174500,8/21/24 22:45,EST,711,P
USGS,4174500,8/21/24 23:00,EST,711,P
USGS,4174500,8/21/24 23:15,EST,711,P
USGS,4174500,8/21/24 23:30,EST,711,P
USGS,4174500,8/21/24 23:45,EST,717,P
USGS,4174500,8/22/24 0:00,EST,723,P
USGS,4174500,8/22/24 0:15,EST,728,P
USGS,4174500,8/22/24 0:30,EST,728,P
USGS,4174500,8/22/24 0:45,EST,728,P
USGS,4174500,8/22/24 1:00,EST,728,P
USGS,4174500,8/22/24 1:15,EST,728,P
USGS,4174500,8/22/24 1:30,EST,728,P
USGS,4174500,8/22/24 1:45,EST,728,P
USGS,4174500,8/22/24 2:00,EST,728,P
USGS,4174500,8/22/24 2:15,EST,728,P
USGS,4174500,8/22/24 2:30,EST,728,P
USGS,4174500,8/22/24 2:45,EST,728,P
USGS,4174500,8/22/24 3:00,EST,728,P
USGS,4174500,8/22/24 3:15,EST,728,P
USGS,4174500,8/22/24 3:30,EST,728,P
USGS,4174500,8/22/24 3:45,EST,728,P
USGS,4174500,8/22/24 4:00,EST,728,P
USGS,4174500,8/22/24 4:15,EST,728,P
USGS,4174500,8/22/24 4:30,EST,728,P
USGS,4174500,8/22/24 4:45,EST,728,P
USGS,4174500,8/22/24 5:00,EST,728,P
USGS,4174500,8/22/24 5:15,EST,728,P
USGS,4174500,8/22/24 5:30,EST,728,P
USGS,4174500,8/22/24 5:45,EST,728,P
USGS,4174500,8/22/24 6:00,EST,723,P
USGS,4174500,8/22/24 6:15,EST,723,P
USGS,4174500,8/22/24 6:30,EST,723,P
USGS,4174500,8/22/24 6:45,EST,723,P
USGS,4174500,8/22/24 7:00,EST,723,P
USGS,4174500,8/22/24 7:15,EST,723,P
USGS,4174500,8/22/24 8:00,EST,723,P
USGS,4174500,8/22/24 8:15,EST,723,P
USGS,4174500,8/22/24 8:30,EST,728,P
USGS,4174500,8/22/24 8:45,EST,728,P
USGS,4174500,8/22/24 9:00,EST,728,P
USGS,4174500,8/22/24 9:15,EST,728,P
USGS,4174500,8/22/24 9:30,EST,728,P
USGS,4174500,8/22/24 9:45,EST,728,P
USGS,4174500,8/22/24 10:00,EST,728,P
USGS,4174500,8/22/24 10:15,EST,728,P
USGS,4174500,8/22/24 10:30,EST,728,P
USGS,4174500,8/22/24 10:45,EST,728,P
USGS,4174500,8/22/24 11:00,EST,734,P
USGS,4174500,8/22/24 11:15,EST,717,P
USGS,4174500,8/22/24 11:30,EST,711,P
USGS,4174500,8/22/24 11:45,EST,705,P
USGS,4174500,8/22/24 12:00,EST,711,P
USGS,4174500,8/22/24 12:15,EST,711,P
USGS,4174500,8/22/24 12:30,EST,723,P
USGS,4174500,8/22/24 12:45,EST,728,P
USGS,4174500,8/22/24 13:00,EST,734,P
USGS,4174500,8/22/24 13:15,EST,734,P
USGS,4174500,8/22/24 13:30,EST,734,P
USGS,4174500,8/22/24 13:45,EST,734,P
USGS,4174500,8/22/24 14:00,EST,734,P
USGS,4174500,8/22/24 14:15,EST,734,P
USGS,4174500,8/22/24 14:30,EST,728,P
USGS,4174500,8/22/24 14:45,EST,728,P
USGS,4174500,8/22/24 15:00,EST,728,P
USGS,4174500,8/22/24 15:15,EST,723,P
USGS,4174500,8/22/24 15:30,EST,723,P
USGS,4174500,8/22/24 15:45,EST,717,P
USGS,4174500,8/22/24 16:00,EST,711,P
USGS,4174500,8/22/24 16:15,EST,711,P
USGS,4174500,8/22/24 16:30,EST,705,P
USGS,4174500,8/22/24 16:45,EST,700,P
USGS,4174500,8/22/24 17:00,EST,700,P
USGS,4174500,8/22/24 17:15,EST,700,P
USGS,4174500,8/22/24 17:30,EST,705,P
USGS,4174500,8/22/24 17:45,EST,711,P
USGS,4174500,8/22/24 18:00,EST,711,P
USGS,4174500,8/22/24 18:15,EST,717,P
USGS,4174500,8/22/24 18:30,EST,717,P
USGS,4174500,8/22/24 18:45,EST,717,P
USGS,4174500,8/22/24 19:00,EST,717,P
USGS,4174500,8/22/24 19:15,EST,717,P
USGS,4174500,8/22/24 19:30,EST,717,P
USGS,4174500,8/22/24 19:45,EST,717,P
USGS,4174500,8/22/24 20:00,EST,711,P
USGS,4174500,8/22/24 20:15,EST,705,P
USGS,4174500,8/22/24 20:30,EST,705,P
USGS,4174500,8/22/24 20:45,EST,700,P
USGS,4174500,8/22/24 21:00,EST,700,P
USGS,4174500,8/22/24 21:15,EST,694,P
USGS,4174500,8/22/24 21:30,EST,694,P
USGS,4174500,8/22/24 21:45,EST,694,P
USGS,4174500,8/22/24 22:00,EST,694,P
USGS,4174500,8/22/24 22:15,EST,694,P
USGS,4174500,8/22/24 22:30,EST,694,P
USGS,4174500,8/22/24 22:45,EST,694,P
USGS,4174500,8/22/24 23:00,EST,694,P
USGS,4174500,8/22/24 23:15,EST,694,P
USGS,4174500,8/22/24 23:30,EST,694,P
USGS,4174500,8/22/24 23:45,EST,694,P
USGS,4174500,8/23/24 0:00,EST,694,P
USGS,4174500,8/23/24 0:15,EST,700,P
USGS,4174500,8/23/24 0:30,EST,700,P
USGS,4174500,8/23/24 0:45,EST,700,P
USGS,4174500,8/23/24 1:00,EST,700,P
USGS,4174500,8/23/24 1:15,EST,694,P
USGS,4174500,8/23/24 1:30,EST,700,P
USGS,4174500,8/23/24 1:45,EST,700,P
USGS,4174500,8/23/24 2:00,EST,700,P
USGS,4174500,8/23/24 2:15,EST,700,P
USGS,4174500,8/23/24 2:30,EST,700,P
USGS,4174500,8/23/24 2:45,EST,700,P
USGS,4174500,8/23/24 3:00,EST,700,P
USGS,4174500,8/23/24 3:15,EST,705,P
USGS,4174500,8/23/24 3:30,EST,705,P
USGS,4174500,8/23/24 3:45,EST,705,P
USGS,4174500,8/23/24 4:00,EST,705,P
USGS,4174500,8/23/24 4:15,EST,705,P
USGS,4174500,8/23/24 4:30,EST,705,P
USGS,4174500,8/23/24 4:45,EST,705,P
USGS,4174500,8/23/24 5:00,EST,705,P
USGS,4174500,8/23/24 5:15,EST,700,P
USGS,4174500,8/23/24 5:30,EST,700,P
USGS,4174500,8/23/24 5:45,EST,694,P
USGS,4174500,8/23/24 6:00,EST,694,P
USGS,4174500,8/23/24 6:15,EST,694,P
USGS,4174500,8/23/24 6:30,EST,689,P
USGS,4174500,8/23/24 6:45,EST,689,P
USGS,4174500,8/23/24 7:00,EST,689,P
USGS,4174500,8/23/24 7:15,EST,689,P
USGS,4174500,8/23/24 7:30,EST,694,P
USGS,4174500,8/23/24 7:45,EST,700,P
USGS,4174500,8/23/24 8:00,EST,700,P
USGS,4174500,8/23/24 8:15,EST,700,P
USGS,4174500,8/23/24 8:30,EST,700,P
USGS,4174500,8/23/24 8:45,EST,700,P
USGS,4174500,8/23/24 9:00,EST,705,P
USGS,4174500,8/23/24 9:15,EST,705,P
USGS,4174500,8/23/24 9:30,EST,705,P
USGS,4174500,8/23/24 9:45,EST,705,P
USGS,4174500,8/23/24 10:00,EST,705,P
USGS,4174500,8/23/24 10:15,EST,705,P
USGS,4174500,8/23/24 10:30,EST,705,P
USGS,4174500,8/23/24 10:45,EST,705,P
USGS,4174500,8/23/24 11:00,EST,705,P
USGS,4174500,8/23/24 11:15,EST,705,P
USGS,4174500,8/23/24 11:30,EST,705,P
USGS,4174500,8/23/24 11:45,EST,705,P
USGS,4174500,8/23/24 12:00,EST,705,P
USGS,4174500,8/23/24 12:15,EST,705,P
USGS,4174500,8/23/24 12:30,EST,700,P
USGS,4174500,8/23/24 12:45,EST,705,P
USGS,4174500,8/23/24 13:00,EST,705,P
USGS,4174500,8/23/24 13:15,EST,705,P
USGS,4174500,8/23/24 13:30,EST,705,P
USGS,4174500,8/23/24 13:45,EST,705,P
USGS,4174500,8/23/24 14:00,EST,705,P
USGS,4174500,8/23/24 14:15,EST,700,P
USGS,4174500,8/23/24 14:30,EST,705,P
USGS,4174500,8/23/24 14:45,EST,700,P
USGS,4174500,8/23/24 15:00,EST,700,P
USGS,4174500,8/23/24 15:15,EST,694,P
USGS,4174500,8/23/24 15:30,EST,700,P
USGS,4174500,8/23/24 15:45,EST,700,P
USGS,4174500,8/23/24 16:00,EST,700,P
USGS,4174500,8/23/24 16:15,EST,700,P
USGS,4174500,8/23/24 16:30,EST,705,P
USGS,4174500,8/23/24 16:45,EST,717,P
USGS,4174500,8/23/24 17:00,EST,717,P
USGS,4174500,8/23/24 17:15,EST,717,P
USGS,4174500,8/23/24 17:30,EST,717,P
USGS,4174500,8/23/24 17:45,EST,717,P
USGS,4174500,8/23/24 18:00,EST,717,P
USGS,4174500,8/23/24 18:15,EST,717,P
USGS,4174500,8/23/24 18:30,EST,717,P
USGS,4174500,8/23/24 18:45,EST,723,P
USGS,4174500,8/23/24 19:00,EST,717,P
USGS,4174500,8/23/24 19:15,EST,717,P
USGS,4174500,8/23/24 19:30,EST,723,P
USGS,4174500,8/23/24 19:45,EST,723,P
USGS,4174500,8/23/24 20:00,EST,717,P
USGS,4174500,8/23/24 20:15,EST,717,P
USGS,4174500,8/23/24 20:30,EST,717,P
USGS,4174500,8/23/24 20:45,EST,717,P
USGS,4174500,8/23/24 21:00,EST,717,P
USGS,4174500,8/23/24 21:15,EST,711,P
USGS,4174500,8/23/24 21:30,EST,711,P
USGS,4174500,8/23/24 21:45,EST,711,P
USGS,4174500,8/23/24 22:00,EST,711,P
USGS,4174500,8/23/24 22:15,EST,711,P
USGS,4174500,8/23/24 22:30,EST,711,P
USGS,4174500,8/23/24 22:45,EST,705,P
USGS,4174500,8/23/24 23:00,EST,705,P
USGS,4174500,8/23/24 23:15,EST,705,P
USGS,4174500,8/23/24 23:30,EST,705,P
USGS,4174500,8/23/24 23:45,EST,705,P
USGS,4174500,8/24/24 0:00,EST,705,P
USGS,4174500,8/24/24 0:15,EST,705,P
USGS,4174500,8/24/24 0:30,EST,705,P
USGS,4174500,8/24/24 0:45,EST,705,P
USGS,4174500,8/24/24 1:00,EST,705,P
USGS,4174500,8/24/24 1:15,EST,705,P
USGS,4174500,8/24/24 1:30,EST,705,P
USGS,4174500,8/24/24 1:45,EST,705,P
USGS,4174500,8/24/24 2:00,EST,700,P
USGS,4174500,8/24/24 2:15,EST,694,P
USGS,4174500,8/24/24 2:30,EST,694,P
USGS,4174500,8/24/24 2:45,EST,694,P
USGS,4174500,8/24/24 3:00,EST,694,P
USGS,4174500,8/24/24 3:15,EST,694,P
USGS,4174500,8/24/24 3:30,EST,694,P
USGS,4174500,8/24/24 3:45,EST,694,P
USGS,4174500,8/24/24 4:00,EST,694,P
USGS,4174500,8/24/24 4:15,EST,694,P
USGS,4174500,8/24/24 4:30,EST,694,P
USGS,4174500,8/24/24 4:45,EST,694,P
USGS,4174500,8/24/24 5:00,EST,689,P
USGS,4174500,8/24/24 5:15,EST,689,P
USGS,4174500,8/24/24 5:30,EST,689,P
USGS,4174500,8/24/24 5:45,EST,683,P
USGS,4174500,8/24/24 6:00,EST,683,P
USGS,4174500,8/24/24 6:15,EST,683,P
USGS,4174500,8/24/24 6:30,EST,683,P
USGS,4174500,8/24/24 6:45,EST,689,P
USGS,4174500,8/24/24 7:00,EST,694,P
USGS,4174500,8/24/24 7:15,EST,700,P
USGS,4174500,8/24/24 7:30,EST,700,P
USGS,4174500,8/24/24 7:45,EST,705,P
USGS,4174500,8/24/24 8:00,EST,700,P
USGS,4174500,8/24/24 8:15,EST,700,P
USGS,4174500,8/24/24 8:30,EST,700,P
USGS,4174500,8/24/24 8:45,EST,700,P
USGS,4174500,8/24/24 9:00,EST,694,P
USGS,4174500,8/24/24 9:15,EST,694,P
USGS,4174500,8/24/24 9:30,EST,694,P
USGS,4174500,8/24/24 9:45,EST,694,P
USGS,4174500,8/24/24 10:00,EST,694,P
USGS,4174500,8/24/24 10:15,EST,694,P
USGS,4174500,8/24/24 10:30,EST,694,P
USGS,4174500,8/24/24 10:45,EST,694,P
USGS,4174500,8/24/24 11:00,EST,689,P
USGS,4174500,8/24/24 11:15,EST,689,P
USGS,4174500,8/24/24 11:30,EST,683,P
USGS,4174500,8/24/24 11:45,EST,677,P
USGS,4174500,8/24/24 12:00,EST,672,P
USGS,4174500,8/24/24 12:15,EST,666,P
USGS,4174500,8/24/24 12:30,EST,666,P
USGS,4174500,8/24/24 12:45,EST,666,P
USGS,4174500,8/24/24 13:00,EST,666,P
USGS,4174500,8/24/24 13:15,EST,666,P
USGS,4174500,8/24/24 13:30,EST,666,P
USGS,4174500,8/24/24 13:45,EST,672,P
USGS,4174500,8/24/24 14:00,EST,677,P
USGS,4174500,8/24/24 14:15,EST,677,P
USGS,4174500,8/24/24 14:30,EST,677,P
USGS,4174500,8/24/24 14:45,EST,683,P
USGS,4174500,8/24/24 15:00,EST,683,P
USGS,4174500,8/24/24 15:15,EST,683,P
USGS,4174500,8/24/24 15:30,EST,683,P
USGS,4174500,8/24/24 15:45,EST,683,P
USGS,4174500,8/24/24 16:00,EST,683,P
USGS,4174500,8/24/24 16:15,EST,683,P
USGS,4174500,8/24/24 16:30,EST,683,P
USGS,4174500,8/24/24 16:45,EST,683,P
USGS,4174500,8/24/24 17:00,EST,683,P
USGS,4174500,8/24/24 17:15,EST,683,P
USGS,4174500,8/24/24 17:30,EST,683,P
USGS,4174500,8/24/24 17:45,EST,683,P
USGS,4174500,8/24/24 18:00,EST,683,P
USGS,4174500,8/24/24 18:15,EST,683,P
USGS,4174500,8/24/24 18:30,EST,683,P
USGS,4174500,8/24/24 18:45,EST,683,P
USGS,4174500,8/24/24 19:00,EST,683,P
USGS,4174500,8/24/24 19:15,EST,683,P
USGS,4174500,8/24/24 19:30,EST,683,P
USGS,4174500,8/24/24 19:45,EST,677,P
USGS,4174500,8/24/24 20:00,EST,677,P
USGS,4174500,8/24/24 20:15,EST,677,P
USGS,4174500,8/24/24 20:30,EST,677,P
USGS,4174500,8/24/24 20:45,EST,677,P
USGS,4174500,8/24/24 21:00,EST,677,P
USGS,4174500,8/24/24 21:15,EST,677,P
USGS,4174500,8/24/24 21:30,EST,677,P
USGS,4174500,8/24/24 21:45,EST,677,P
USGS,4174500,8/24/24 22:00,EST,677,P
USGS,4174500,8/24/24 22:15,EST,677,P
USGS,4174500,8/24/24 22:30,EST,683,P
USGS,4174500,8/24/24 22:45,EST,683,P
USGS,4174500,8/24/24 23:00,EST,683,P
USGS,4174500,8/24/24 23:15,EST,683,P
USGS,4174500,8/24/24 23:30,EST,683,P
USGS,4174500,8/24/24 23:45,EST,683,P
USGS,4174500,8/25/24 0:00,EST,683,P
USGS,4174500,8/25/24 0:15,EST,683,P
USGS,4174500,8/25/24 0:30,EST,683,P
USGS,4174500,8/25/24 0:45,EST,689,P
