year,P,S,E
1980,1003,3276,1260
1981,346,170,1395
1982,944,860,1208
1983,1111,2500,1190
1984,454,189,1313
1985,439,263,1354
1986,602,526,1300
1987,542,188,1256
1988,431,182,1319
1989,300,120,1350
1990,365,104,1296
1991,629,529,1262
1992,851,863,1261
1993,1071,5003,1281
1994,505,347,1312
1995,866,2329,1286
1996,707,505,1371
1997,474,310,1354
1998,877,2119,1192
1999,232,112,1357
2000,402,236,1400
2001,381,211,1416
2002,280,63,1501
2003,520,574,1410
2004,537,846,1389
2005,846,3291,1295
2006,527,1292,1349
2007,281,98,1384
2008,632,608,1327
2009,406,531,1350
2010,1219,2427,1208
2011,460,1135,1275
2012,341,223,1362
2013,217,108,1342
2014,456,187,1373
2015,291,77,1261
2016,473,165,1308
2017,408,522,1339
2018,424,118,1313
2019,815,1169,1222
2020,401,414,1273
2021,467,215,1160