year,Precipitation,Evaporation,Streamflow
1980,wet,low,high
1981,dry,high,low
1982,wet,low,high
1983,wet,low,high
1984,dry,high,low
1985,dry,high,low
1986,wet,low,low
1987,dry,low,low
1988,dry,high,low
1989,dry,high,low
1990,dry,low,low
1991,wet,low,low
1992,wet,low,high
1993,wet,low,high
1994,dry,high,low
1995,wet,low,high
1996,wet,high,low
1997,dry,high,low
1998,wet,low,high
1999,dry,high,low
2000,dry,high,low
2001,dry,high,low
2002,dry,high,low
2003,dry,high,low
2004,dry,high,high
2005,wet,low,high
2006,dry,high,high
2007,dry,high,low
2008,wet,high,low
2009,dry,high,low
2010,wet,low,high
2011,dry,low,high
2012,dry,high,low
2013,dry,high,low
2014,dry,high,low
2015,dry,low,low
2016,dry,high,low
2017,dry,high,low
2018,dry,high,low
2019,wet,low,high
2020,dry,low,low
2021,dry,low,low